Día,Entrada,Salida,h:m,Tiempo,Tarifa (horaria),Pesos,Presupuesto,Approved,Estado,Billable,Customer,Project,Activity,Description,Comentario,Location,Tracking Number,Nombre de usuario,despejado
31.12.,10:55,13:15,2:20,2.33,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Planilla de retiros 2018.,,,,lcolombo,0
30.12.,18:00,18:50,0:50,0.83,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Update propuesta Ojumble. Videocall con Germán y update tarjeta de HubSpot.,,,,lcolombo,0
30.12.,16:30,16:45,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Reacomodando tarjetas de HubSpot,,,,lcolombo,0
30.12.,16:15,16:30,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Respuesta mail presupuesto Ortopedia Central Mendoza,,,,lcolombo,0
30.12.,13:00,13:20,0:20,0.33,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Envío de presupuesto a Ortopedia Central Mendoza,,,,lcolombo,0
30.12.,11:50,12:20,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Modificación de la propuesta de Ojumble.,,,,lcolombo,0
29.12.,20:15,20:55,0:40,0.67,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Estimaciones (iteraciones) nuevo presupuesto (OT91) para Ojumble c/mantenimiento.,,,,lcolombo,0
29.12.,18:30,20:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Videocall con Germán Szapiro x dudas en el presupuesto.,,,,lcolombo,0
29.12.,18:20,19:54,1:34,1.57,36.56,57.36,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
29.12.,17:35,18:15,0:40,0.67,36.56,24.37,,,open,0%,Aptage,Aptage,Operativo,,,,,nespino,0
29.12.,16:30,18:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Kairos,Desarrollo,,,,,mmesmer,0
29.12.,16:30,18:00,1:30,1.50,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Venta Charters,Reunion,Demo final,,,,lcolombo,0
29.12.,16:30,17:30,1:00,1.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Reunion,Demo y reunion final.,,,,ddebonis,0
29.12.,15:55,16:25,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,landing / planillas / mail,,,,acuervo,0
29.12.,15:53,17:30,1:36,1.61,0.00,0.00,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
29.12.,15:37,15:53,0:16,0.27,36.56,9.81,,,open,%,Bitson,Bitson,Presupuesto,,,,,nespino,0
29.12.,15:35,16:30,0:55,0.92,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Edición presupuesto ortopedia con @nespino y @marcosdmyr. Asistencia @malecuervo retiros semanales. Revisión demo Andes.,,,,lcolombo,0
29.12.,15:16,15:37,0:20,0.35,36.56,12.66,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
29.12.,15:00,15:55,0:55,0.92,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,transferencias retiros semanales,,,,acuervo,0
29.12.,14:10,15:35,1:25,1.42,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Presupuesto ecommerce ortopedia. Edición. Asistencia @malecuervo con retiros semanales.,,,,lcolombo,0
29.12.,14:06,15:16,1:09,1.16,36.56,42.56,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
29.12.,14:00,16:30,2:30,2.50,28.00,70.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
29.12.,13:23,14:02,0:39,0.65,36.56,23.81,,,open,%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,nespino,0
29.12.,13:15,15:00,1:45,1.75,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,landing bitson,,,,acuervo,0
29.12.,13:10,13:23,0:13,0.22,36.56,8.00,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
29.12.,12:10,12:55,0:45,0.75,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,landing bitson,,,,acuervo,0
29.12.,12:05,12:55,0:50,0.83,0.00,0.00,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
29.12.,11:30,12:05,0:35,0.58,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión operativa,Búsqueda de versiones viejas de la placa bitson.,,,,lcolombo,0
29.12.,11:30,13:30,2:00,2.00,28.00,56.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
29.12.,11:29,12:05,0:35,0.60,36.56,21.85,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,nespino,0
29.12.,11:05,11:28,0:23,0.40,36.56,14.48,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
29.12.,10:30,11:30,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Presupuesto,,,,,mmesmer,0
29.12.,10:30,16:30,6:00,6.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,abrunacci,0
29.12.,10:20,12:10,1:50,1.83,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,"envio mailchimp
landing",,,,acuervo,0
29.12.,10:15,11:30,1:15,1.25,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,"Edición de presupuesto Ojumble, sugerencias de @nespino y @marcosdmyr. Update HubSpot. Envío de presupuesto.",,,,lcolombo,0
29.12.,09:43,10:20,0:36,0.61,36.56,22.21,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
29.12.,09:43,09:43,0:00,0.00,36.56,0.05,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
29.12.,08:00,16:00,8:00,8.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,ddebonis,0
28.12.,23:15,02:05,2:50,2.83,0.00,0.00,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
28.12.,22:30,07:30,9:00,9.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,abrunacci,0
28.12.,18:30,20:30,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Presupuesto Ojumble,,,,lcolombo,0
28.12.,16:40,17:40,1:00,1.01,0.00,0.00,,,open,0%,Aptage,Aptage,Operativo,,,,,nespino,0
28.12.,16:30,16:55,0:25,0.42,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,modificacion planilla retiro (NE),,,,acuervo,0
28.12.,16:30,18:00,1:30,1.50,28.00,42.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
28.12.,15:51,16:40,0:48,0.82,36.56,29.81,,,open,0%,Bitson,Bitson,Presupuesto,,,,,nespino,0
28.12.,15:30,16:30,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Presupuesto,,,,,mmesmer,0
28.12.,15:21,15:51,0:29,0.48,0.00,0.00,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
28.12.,15:10,15:50,0:40,0.67,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Coordinación de pendientes con Male.,,,,lcolombo,0
28.12.,15:05,15:21,0:16,0.28,0.00,0.00,,,open,0%,Bitson,Bitson,Presupuesto,,,,,nespino,0
28.12.,15:00,15:10,0:10,0.17,0.00,0.00,,,open,0%,SanyoJafep,Magento SanyoJafep,Gestión Comercial,Edición propuesta mantenimiento Magento.,,,,lcolombo,0
28.12.,14:55,16:30,1:35,1.58,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,"-landing ingles
-programación publicaciones cursos
",,,,acuervo,0
28.12.,14:43,15:05,0:21,0.37,36.56,13.37,,,open,0%,Bitson,Bitson,Capacitación,Capacit,,,,nespino,0
28.12.,14:40,14:55,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,Reunion Tole,,,,acuervo,0
28.12.,14:30,15:00,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Charla con Tole,,,,lcolombo,0
28.12.,14:10,14:30,0:20,0.33,0.00,0.00,,,open,0%,SanyoJafep,Magento SanyoJafep,Gestión Comercial,"Preparación documento presupuesto Mantenimiento primer semestre 2018
",,,,lcolombo,0
28.12.,13:30,14:40,1:10,1.17,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,-landing bitson-ingles,,,,acuervo,0
28.12.,13:30,15:30,2:00,2.00,28.00,56.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
28.12.,13:03,14:43,1:39,1.66,36.56,60.69,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
28.12.,13:00,13:15,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Actualización plantilla OTs.,,,,lcolombo,0
28.12.,12:13,13:03,0:50,0.84,0.00,0.00,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
28.12.,11:45,12:45,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,back-up,,,,acuervo,0
28.12.,11:38,12:13,0:34,0.57,36.56,20.85,,,open,%,Bitson,Bitson,Presupuesto,,,,,nespino,0
28.12.,11:30,12:10,0:40,0.67,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Videocall para presupuestos ortopedia mendoza y ojumble.,,,,lcolombo,0
28.12.,11:30,12:45,1:15,1.25,0.00,0.00,,,open,0%,Bitson,Bitson,Presupuesto,,,,,mmesmer,0
28.12.,11:20,11:45,0:25,0.42,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,track horas semanales,,,,acuervo,0
28.12.,11:00,11:15,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Coordinación con @malecuervo,,,,lcolombo,0
28.12.,11:00,16:00,5:00,5.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,ddebonis,0
28.12.,10:30,11:30,1:00,1.00,28.00,28.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
28.12.,10:11,16:00,5:49,5.82,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,abrunacci,0
