Día,Entrada,Salida,h:m,Tiempo,Tarifa (horaria),Pesos,Presupuesto,Approved,Estado,Billable,Customer,Project,Activity,Description,Comentario,Location,Tracking Number,Nombre de usuario,despejado
21.05.,03:11,03:15,0:03,0.06,28.00,1.63,,,open,0%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
20.05.,22:40,23:46,1:06,1.10,28.00,30.82,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
19.05.,22:50,23:31,0:41,0.69,28.00,19.35,,,open,0%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
19.05.,17:24,18:23,0:58,0.98,28.00,27.46,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
19.05.,15:00,16:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,FIT,,,,,hbrunacci,0
19.05.,14:10,15:00,0:50,0.83,0.00,0.00,,,open,0%,Kairos - Totem,Osmedica,Reunion,Afinar cuestiones para la propuesta final a Osmedica,,,,hbrunacci,0
19.05.,13:50,17:00,3:10,3.17,585.00,1852.50,,,open,0%,ECSA,Beagle SCA,Operativo,Pruebas con Beagle IoT. Display. COM1. ACG Reader. Modificación de configuraciones y registro en Wiki.,,,,lcolombo,0
19.05.,13:41,15:41,2:00,2.01,28.00,56.16,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
19.05.,13:00,14:00,1:00,1.00,36.56,36.56,,,open,0%,ECSA,Banfield,Operativo,"Instalar windows 7 en notebook toshiba
- Armar pen drive, comenzar instalación ",,,,hbrunacci,0
19.05.,12:48,17:53,5:05,5.08,0.00,0.00,,,open,%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
19.05.,12:00,12:15,0:15,0.25,585.00,146.25,,,open,0%,Bitson,Bitson,Gestión Interna,Consulta Tryton SaaS. Archivo Estatuto FACTTIC. Administración GSuite mails bitson.com.ar,,,,lcolombo,0
19.05.,11:20,11:50,0:30,0.50,585.00,292.50,,,open,0%,Bitson,Bitson,Gestión Comercial,Charla c/@hbrunacci x Kairós y desarrollos p/ECSA.,,,,lcolombo,0
19.05.,11:00,17:00,6:00,6.00,28.00,168.00,,,open,0%,Bitson,Cromi,Desarrollo,React alta usuario,,,,ddebonis,0
19.05.,10:00,11:20,1:20,1.33,585.00,780.00,,,open,0%,ECSA,Beagle SCA,Operativo,Desarrollo de new_blades.,,,,lcolombo,0
19.05.,09:30,11:15,1:45,1.75,0.00,0.00,,,open,0%,ECSA,Sigas SCA,Reunion,"Reunión Con Rodrigo Ojeda
Se hablo sobre la ejecución de la plata depositada
Algunos proyectos a futuro",,,,hbrunacci,0
19.05.,09:00,11:00,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Cromi,Testing,Pruebas alta usuario,,,,ddebonis,0
19.05.,09:00,18:00,9:00,9.00,28.00,252.00,,,open,0%,Betterez,Betterez,Desarrollo,,,,,abrunacci,0
18.05.,17:00,17:45,0:45,0.75,585.00,438.75,,,open,0%,ECSA,Beagle SCA,Operativo,Configurando Beagle con IoT.,,,,lcolombo,0
18.05.,16:00,17:00,1:00,1.00,585.00,585.00,,,open,0%,Bitson,Bitson,Operativo,Configurando DHCP fijo para Máquinas de Escritorio en Alsina y Beagles.,,,,lcolombo,0
18.05.,16:00,19:00,3:00,3.00,28.00,84.00,,,open,0%,Betterez,Betterez,Desarrollo,6377,,,,abrunacci,0
18.05.,15:30,17:00,1:30,1.50,28.00,42.00,,,open,0%,Bitson,Cromi,Desarrollo,"React alta usuario
Fix issue con rutas de DOMI1",,,,ddebonis,0
18.05.,15:20,16:00,0:40,0.67,585.00,390.00,,,open,0%,Bitson,Bitson,Gestión Interna,Mail a Fer Cantora x Compra de Cheques y Tarjetas de crédito.,,,,lcolombo,0
18.05.,14:00,15:20,1:20,1.33,585.00,780.00,,,open,0%,Bitson,Bitson,Gestión Interna,Cambio de Consejo de Administración en Credicoop.,,,,lcolombo,0
18.05.,14:00,15:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Tramite ,Banco,,,,abrunacci,0
18.05.,14:00,16:10,2:10,2.17,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,"Mail a Ojeda con varios puntos
Costos Kairos",,,,hbrunacci,0
18.05.,13:30,15:30,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Credicoop,,,,ddebonis,0
18.05.,13:20,14:00,0:40,0.67,0.00,0.00,,,open,0%,Bitson,Bitson,Almuerzo,,,,,hbrunacci,0
18.05.,12:15,14:16,2:00,2.01,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
18.05.,11:00,12:15,1:15,1.26,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,"Banco Credicoop - papeles 
Papeles legal
Pago de servicios
",,,,cuberti,0
